2025-11-12 18:04:11,752 | INFO | root | [启动] 飞书合同协同记录批量拉取
2025-11-12 18:04:11,752 | INFO | root | 日志文件: D:\li.zhou_158712\Desktop\常用脚本\70批量拉取飞书合同协同记录\logs\run_20251112_180411.log
2025-11-12 18:04:11,752 | INFO | root | 时间范围: 2025-11-01 → 2025-11-15
拆分序列: [7, 3, 1]
阈值: max_count_per_file=1000
断点续跑: resume (已完成态: ['with_data', 'no_data', 'manual'])
下载目录: ./output/raw  机器人: 飞书合同  超时: 90s
2025-11-12 18:04:11,752 | INFO | root | [执行] 开始编排（Step 5）...
2025-11-12 18:04:11,754 | INFO | scripts.orchestrator | run: initial_windows=[('2025-11-01', '2025-11-07'), ('2025-11-08', '2025-11-14'), ('2025-11-15', '2025-11-15')]
2025-11-12 18:04:11,755 | DEBUG | scripts.web_download | ensure_dir: ./output/raw
2025-11-12 18:04:11,755 | DEBUG | asyncio | Using proactor: IocpProactor
2025-11-12 18:04:30,382 | DEBUG | scripts.orchestrator | split_process: start fr=2025-11-01 to=2025-11-07 level=0 days=7
2025-11-12 18:04:47,149 | DEBUG | scripts.http_export | compose_headers: keys=['Timezone-Offset', 'Cookie', 'Content-Type', 'Accept', 'User-Agent'] cookie_present=True
2025-11-12 18:04:47,149 | DEBUG | scripts.http_export | build_body: from=2025-11-01 to=2025-11-07 keyword= tab=0 extra_keys=[]
2025-11-12 18:04:47,150 | DEBUG | scripts.http_export | submit_export: url=https://contract.feishu.cn/clm/api/cooperation/exportCooperationRecords timeout=30 attempts/backoff=3/5
2025-11-12 18:04:47,150 | DEBUG | scripts.http_export | submit_export: body={'keyword': '', 'searchTabEnumCode': 0, 'searchCooperationByCreateTime': ['2025-11-01', '2025-11-07']}
2025-11-12 18:04:47,150 | DEBUG | scripts.http_export | submit_export: attempt=1/3
2025-11-12 18:04:47,150 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): contract.feishu.cn:443
2025-11-12 18:04:47,935 | DEBUG | urllib3.connectionpool | https://contract.feishu.cn:443 "POST /clm/api/cooperation/exportCooperationRecords HTTP/1.1" 200 None
2025-11-12 18:04:47,936 | DEBUG | scripts.http_export | submit_export: status=200 text_len=133
2025-11-12 18:04:47,936 | DEBUG | scripts.http_export | submit_export: success
2025-11-12 18:04:48,556 | DEBUG | scripts.orchestrator | split_process: declared=285 path=./output/raw\协商操作记录-20251112.xlsx
2025-11-12 18:04:48,557 | DEBUG | scripts.orchestrator | rename: ./output/raw\协商操作记录-20251112.xlsx -> output\raw\合同协同_20251101-20251107_共285条.xlsx
2025-11-12 18:04:48,557 | INFO | scripts.orchestrator | split_process: with_data fr=2025-11-01 to=2025-11-07 declared=285 saved=output\raw\合同协同_20251101-20251107_共285条.xlsx
2025-11-12 18:04:48,559 | DEBUG | scripts.orchestrator | split_process: start fr=2025-11-08 to=2025-11-14 level=0 days=7
2025-11-12 18:05:05,282 | DEBUG | scripts.http_export | compose_headers: keys=['Timezone-Offset', 'Cookie', 'Content-Type', 'Accept', 'User-Agent'] cookie_present=True
